customer,question,answer
Customer1,What are your opening hours?,We are open daily from 9 AM to 10 PM.
Customer2,Do you offer home delivery?,"Yes, we offer free home delivery within 5 km."
Customer3,Do you have vegetarian options?,"Yes, we have a variety of vegetarian and vegan dishes."
Customer4,Where are you located?,"We are located at 123 Main Street, Downtown."
Customer5,What payment methods do you accept?,"We accept cash, credit cards, and digital wallets."
Customer6,Do you have gluten-free items?,"Yes, we offer gluten-free bread, pasta, and desserts."
Customer7,Can I reserve a table?,"Yes, you can reserve a table by calling us or using our website."
Customer8,Do you provide catering services?,"Yes, we provide catering for events and parties."
Customer9,Is parking available?,"Yes, we have free parking for all our customers."
Customer10,Do you offer student discounts?,"Yes, students get 10% off with a valid ID."
Customer11,Do you have children’s meals?,"Yes, we have a special kids menu with smaller portions."
Customer12,Do you sell fresh produce?,"Yes, we sell fresh fruits and vegetables daily."
Customer13,Do you sell electronics?,"Yes, we have a section for small household electronics."
Customer14,Can I order online?,"Yes, you can order online through our app or website."
Customer15,Do you offer gift cards?,"Yes, we sell gift cards in different amounts."
Customer16,Do you sell medicines?,"Yes, we have a pharmacy section inside the store."
Customer17,Do you offer bakery items?,"Yes, we bake fresh bread and cakes daily."
Customer18,Do you deliver groceries?,"Yes, groceries can be delivered within 5 km."
Customer19,Do you have loyalty programs?,"Yes, our loyalty program gives 5% cashback on every purchase."
Customer20,Do you sell dairy products?,"Yes, we stock fresh milk, cheese, yogurt, and butter."
Customer21,Do you sell frozen food?,"Yes, we have a wide range of frozen food items."
Customer22,Do you offer refunds?,"Yes, refunds are available within 7 days with receipt."
Customer23,Can I exchange items?,"Yes, items can be exchanged within 14 days."
Customer24,Do you sell meat and fish?,"Yes, we sell fresh meat and seafood daily."
Customer25,Do you have organic food?,"Yes, we stock organic fruits, vegetables, and grains."
Customer26,Do you sell cleaning supplies?,"Yes, we have a full section for home cleaning products."
Customer27,Do you sell clothes?,"Yes, we have a clothing section for men, women, and kids."
Customer28,Do you sell footwear?,"Yes, we sell shoes, sandals, and slippers."
Customer29,Do you have seasonal sales?,"Yes, we offer discounts during major festivals and seasons."
Customer30,Do you provide wheelchairs?,"Yes, we provide wheelchairs for elderly and disabled customers."
Customer31,Do you have a lost and found?,"Yes, our lost and found counter is at customer service."
Customer32,Do you offer senior citizen discounts?,"Yes, seniors get 15% discount every Tuesday."
Customer33,Do you sell stationery?,"Yes, we sell notebooks, pens, and office supplies."
Customer34,Do you sell toys?,"Yes, we have a toy section for children."
Customer35,Do you sell furniture?,"Yes, we sell basic home and office furniture."
Customer36,Do you sell cosmetics?,"Yes, we sell skincare and beauty products."
Customer37,Do you have home delivery for furniture?,"Yes, we deliver furniture within 10 km."
Customer38,Do you have a return policy?,"Yes, items can be returned within 14 days if unused."
Customer39,Do you offer bulk discounts?,"Yes, bulk buyers get special discounted rates."
Customer40,Do you sell electronics accessories?,"Yes, we sell chargers, headphones, and cables."
Customer41,Do you sell kitchen appliances?,"Yes, we sell mixers, ovens, and microwaves."
Customer42,Do you sell mobile phones?,"Yes, we have a mobile phone counter with latest models."
Customer43,Do you sell watches?,"Yes, we sell men’s and women’s watches."
Customer44,Do you have customer support phone?,"Yes, you can call us at 123-456-7890."
Customer45,Do you have an email for support?,"Yes, contact us at support@store.com."
Customer46,Do you sell household items?,"Yes, we sell utensils, plates, and home décor."
Customer47,Do you have seasonal fruits?,"Yes, we stock seasonal fruits like mangoes and strawberries."
Customer48,Do you sell snacks?,"Yes, we sell chips, cookies, and packaged snacks."
Customer49,Do you sell beverages?,"Yes, we sell juices, soda, tea, and coffee."
Customer50,Do you have a membership program?,"Yes, our members get exclusive discounts and free delivery."
